split,n,method,paper_or_family,bib,implementation,precision,recall,f1,site_macro_f1,type_macro_f1,validity,unsupported/pred
WebSchema-JSONLD Bench-3452,3452,reusable_dom_xpath_template,AutoScraper / XPath Agent / AXE family,huang2024autoscraper;li2025xpathagent;mansour2026axe,single collapsed DOM/XPath-template induction baseline using the repository's reusable DOM wrapper output; reported once because these families are not official JSON-LD implementations here,0.760,0.566,0.649,0.596,0.391,1.000,0/15918
WebSchema-JSONLD Bench-3452,3452,direct_deepseek_jsonld,Direct DeepSeek-V4-Flash,,same model receives DOM evidence plus schema properties and directly emits JSON-LD,0.548,0.600,0.573,0.574,0.500,0.999,589/23587
WebSchema-JSONLD Bench-3452,3452,direct_deepseek_verifier,Direct DeepSeek + verifier,,direct DeepSeek output followed by the same schema/evidence verifier,0.644,0.468,0.542,0.599,0.490,1.000,0/15559
WebSchema-JSONLD Bench-3452,3452,schema_prompt_deepseek,ExtractGPT / LLM4Schema-style prompt,brinkmann2024wdcpave;dang2025llm4schema,DeepSeek field-oriented schema prompt with target slots and DOM evidence; no planner or repair,0.699,0.561,0.622,0.614,0.449,1.000,248/17214
WebSchema-JSONLD Bench-3452,3452,llm_ensemble_value_vote,LLM-Ensemble / AutoData-style selection,fang2024llmensemble;ma2025autodata,"selects among direct, schema-prompt, and DOM/XPath-template outputs by schema/evidence reward, then verifies",0.611,0.494,0.546,0.605,0.452,1.000,0/17304
WebSchema-JSONLD Bench-3452,3452,schemaplan_rag_deepseek,SchemaPlan-RAG (ours),,"full Step 1--7 pipeline with DeepSeek-V4-Flash for Steps 2, 4, and 6",0.950,0.924,0.937,0.922,0.658,1.000,16/20784
