method,examples,precision,recall,f1,site_macro_f1,type_macro_f1,jsonld_validity,hallucination_rate,unsupported_fields,predicted_fields
schemarag,1600,0.471,0.384,0.423,0.412,0.412,1.000,0.000,0,7041
schemaplan_rag,1600,0.918,0.759,0.831,0.822,0.828,1.000,0.000,0,7127
